id,lat,lon
000, -3.40916667,-52.96972222
001, -7.14500000,-60.47750000
002, -8.81138889,-64.05111111
003, -9.80083333,-63.31888889
004, -9.68611111,-69.07138889
005,-10.43055556,-61.32888889
006,-13.34972222,-60.88083333
007,-10.81833333,-68.36805556
008, -4.12583333,-55.41000000
009, -4.00277778,-54.21305556
010, -1.61472222,-55.20611111
011,-11.00583333,-52.26694444
012,-11.61777778,-52.41000000
013,-13.52083333,-56.55000000
014, -9.19638889,-57.93166667
015, -9.28166667,-58.25611111
016,-12.35222222,-52.44138889
017, -7.12277778,-55.48527778
100, -7.27972222,-55.95972222
101, -7.48416667,-56.03611111
102, -7.48083333,-56.21944444
103, -8.05583333,-55.95750000
104, -2.92472222,-65.83111111
105, -5.85194444,-72.31166667
106, -7.78027778,-70.93722222
107,-23.24805556,-46.95722222
108,-23.74888889,-46.43277778